2022-02-10 00:51:34,769 Logging directory: /scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/project_TransUNet/TransUNet/log_dir/trFETS_train_cv1_r3/i2i2l/
2022-02-10 00:51:34,770 Tensorboard directory: /scratch_net/biwidl217_second/arismu/Tensorboard/trFETS_train_cv1_r3/i2i2l/
2022-02-10 00:51:34,770 ============================================================
2022-02-10 00:51:34,770 EXPERIMENT NAME: trFETS_train_cv1_r3/i2i2l/
2022-02-10 00:51:34,770 ============================================================
2022-02-10 00:51:34,770 Loading data...
2022-02-10 00:51:34,771 Already preprocessed this configuration. Loading now...
2022-02-10 00:51:35,768 Already preprocessed this configuration. Loading now...
2022-02-10 00:57:35,356 Training Images: (240, 240, 54560)
2022-02-10 00:57:35,357 Training Labels: (240, 240, 54560)
2022-02-10 00:57:35,357 Validation Images: (240, 240, 12400)
2022-02-10 00:57:35,357 Validation Labels: (240, 240, 12400)
2022-02-10 00:57:35,357 ============================================================
2022-02-10 00:57:35,396 17 iterations per epoch. 50000 max iterations 
  0%|                                          | 0/15 [00:00<?, ?it/s]EPOCH: 0
2022-02-10 00:57:36,637 iteration 1 : loss : 1.067151, loss_ce: 1.268132
2022-02-10 00:57:37,122 iteration 2 : loss : 1.012528, loss_ce: 1.168482
2022-02-10 00:57:37,570 iteration 3 : loss : 0.966999, loss_ce: 1.089328
2022-02-10 00:57:38,046 iteration 4 : loss : 0.941082, loss_ce: 1.059591
2022-02-10 00:57:38,610 iteration 5 : loss : 0.911780, loss_ce: 0.998513
2022-02-10 00:57:39,168 iteration 6 : loss : 0.883030, loss_ce: 0.945331
2022-02-10 00:57:39,617 iteration 7 : loss : 0.864350, loss_ce: 0.918489
2022-02-10 00:57:40,068 iteration 8 : loss : 0.860748, loss_ce: 0.901675
2022-02-10 00:57:40,566 iteration 9 : loss : 0.830594, loss_ce: 0.845579
2022-02-10 00:57:41,008 iteration 10 : loss : 0.861916, loss_ce: 0.902466
2022-02-10 00:57:41,556 iteration 11 : loss : 0.837250, loss_ce: 0.867543
2022-02-10 00:57:42,015 iteration 12 : loss : 0.805475, loss_ce: 0.801472
2022-02-10 00:57:42,551 iteration 13 : loss : 0.825343, loss_ce: 0.855204
